Rank,company,revenue,employee,URL
205,PPG Industries,"$15,374.00 ","47,300",https://www.indeed.com/cmp/Ppg-Industries
206,Omnicom Group,"$15,290.20 ","70,400",https://www.indeed.com/cmp/Omnicom-Group
207,Celgene,"$15,281.00 ","8,852",https://www.indeed.com/cmp/Celgene-Corporation
208,Jacobs Engineering Group,"$14,984.60 ","77,600",https://www.indeed.com/cmp/Jacobs
209,Ross Stores,"$14,983.50 ","88,100",https://www.indeed.com/cmp/Ross-Dress-For-Less
210,Marsh & McLennan,"$14,950.00 ","66,000",https://www.indeed.com/cmp/Marsh-&-Mclennan-Companies
211,Mastercard,"$14,950.00 ","14,800",https://www.indeed.com/cmp/Mastercard
212,Land O'Lakes,"$14,936.20 ","10,000","https://www.indeed.com/cmp/Land-O%E2%80%99lakes,-Inc."
213,Waste Management,"$14,914.00 ","43,700",https://www.indeed.com/cmp/Waste-Management-1
214,Illinois Tool Works,"$14,768.00 ","48,000",https://www.indeed.com/cmp/Itw
215,Ecolab,"$14,668.20 ","49,000",https://www.indeed.com/cmp/Ecolab
216,Booking Holdings,"$14,527.00 ","24,500",https://www.indeed.com/cmp/Booking.com
217,CBS,"$14,514.00 ","14,750",https://www.indeed.com/cmp/CBS-Corporation
218,Parker-Hannifin,"$14,302.40 ","57,170",https://www.indeed.com/cmp/Parker-Hannifin
219,Principal Financial,"$14,237.20 ","16,475",https://www.indeed.com/cmp/Principal-Financial-Group
220,DTE Energy,"$14,212.00 ","10,600",https://www.indeed.com/cmp/Dte-Energy
221,BlackRock,"$14,198.00 ","14,900",https://www.indeed.com/cmp/Blackrock-Inc.
222,United States Steel,"$14,178.00 ","29,000",https://www.indeed.com/cmp/United-States-Steel
223,Community Health Systems,"$14,155.00 ","78,500",https://www.indeed.com/cmp/Community-Health-Systems
224,Kinder Morgan,"$14,144.00 ","11,012",https://www.indeed.com/cmp/Kinder-Morgan
225,Qurate Retail,"$14,070.00 ","27,226",https://www.indeed.com/cmp/Qvc
226,Loews,"$14,066.00 ","17,900",https://www.indeed.com/cmp/Loews-Hotels-&-Co
227,Arconic,"$14,014.00 ","43,000",https://www.indeed.com/cmp/Arconic
228,Stanley Black & Decker,"$13,982.40 ","60,767",https://www.indeed.com/cmp/Stanley-Black-&-Decker
229,Textron,"$13,972.00 ","35,000",https://www.indeed.com/cmp/Textron
230,Las Vegas Sands,"$13,729.00 ","51,500",https://www.indeed.com/cmp/Las-Vegas-Sands-Corp.
231,Estee Lauder,"$13,683.00 ","46,000",https://www.indeed.com/cmp/The-Est%C3%A9e-Lauder-Companies-1
232,DISH Network,"$13,621.30 ","16,000",https://www.indeed.com/cmp/Dish
233,Stryker,"$13,601.00 ","36,000",https://www.indeed.com/cmp/Stryker
234,Kellogg,"$13,547.00 ","34,000",https://www.indeed.com/cmp/Kellogg-Company
235,Biogen,"$13,452.90 ","7,800",https://www.indeed.com/cmp/Biogen
236,Alcoa,"$13,403.00 ","14,000",https://www.indeed.com/cmp/Alcoa
237,Anadarko Petroleum,"$13,382.00 ","4,700",https://www.indeed.com/cmp/Anadarko-Petroleum-Corporation
238,Dominion Energy,"$13,366.00 ","16,100",https://www.indeed.com/cmp/Dominion-Energy
239,ADP,"$13,325.80 ","57,000",https://www.indeed.com/cmp/ADP
240,salesforce.com,"$13,282.00 ","35,000",https://www.indeed.com/cmp/Salesforce
241,L Brands,"$13,236.90 ","57,200",https://www.indeed.com/cmp/L-Brands
242,Henry Schein,"$13,202.00 ","22,600",https://www.indeed.com/cmp/Henry-Schein
243,Newell Brands,"$13,033.10 ","37,000",https://www.indeed.com/cmp/Newell-Brands
244,Guardian Life Ins. Co. of America,"$13,014.90 ","9,556",https://www.indeed.com/cmp/Guardian-Life-Insurance-Company
245,BJ's Wholesale Club,"$13,007.30 ","26,383",https://www.indeed.com/cmp/Bj's-Wholesale-Club
246,BB&T Corp.,"$12,996.00 ","35,852",https://www.indeed.com/cmp/Bb&T
247,State Street Corp.,"$12,973.00 ","40,142",https://www.indeed.com/cmp/State-Street
248,Viacom,"$12,943.00 ","10,880",https://www.indeed.com/cmp/Viacom
249,Ameriprise Financial,"$12,924.00 ","14,062",https://www.indeed.com/cmp/Ameriprise-Financial
250,Core-Mark Holding,"$12,903.90 ","8,087","https://www.indeed.com/cmp/Core--mark-International,-Inc."
251,Reinsurance Group of America,"$12,875.70 ","2,767",https://www.indeed.com/cmp/Reinsurance-Group-of-America
252,VF,"$12,862.30 ","69,000",https://www.indeed.com/cmp/Vf-Corporation
253,Discover Financial Services,"$12,848.00 ","16,600",https://www.indeed.com/cmp/Discover-Financial-Services
254,Global Partners,"$12,672.60 ","2,500",https://www.indeed.com/cmp/Global-Partners
255,Edison International,"$12,657.00 ","12,574",https://www.indeed.com/cmp/Edison-International
256,Oneok,"$12,593.20 ","2,684",https://www.indeed.com/cmp/Oneok
257,Murphy USA,"$12,524.00 ","6,800",https://www.indeed.com/cmp/Murphy-USA
258,Bed Bath & Beyond,"$12,349.30 ","65,000",https://www.indeed.com/cmp/Bed-Bath-&-Beyond
259,Consolidated Edison,"$12,337.00 ","15,307",https://www.indeed.com/cmp/Conedison-Solutions
260,CSX,"$12,250.00 ","22,475",https://www.indeed.com/cmp/Csx
261,J.C. Penney,"$12,019.00 ","95,000",https://www.indeed.com/cmp/Jcpenney
262,LKQ,"$11,876.70 ","51,000",https://www.indeed.com/cmp/Lkq-Corporation
263,FirstEnergy,"$11,864.00 ","12,494",https://www.indeed.com/cmp/Firstenergy
264,Steel Dynamics,"$11,821.80 ","8,200",https://www.indeed.com/cmp/Steel-Dynamics
265,Lithia Motors,"$11,821.40 ","13,643","https://www.indeed.com/cmp/Lithia-Motors,-Inc."
266,MGM Resorts International,"$11,763.10 ","74,500",https://www.indeed.com/cmp/Mgm-Resorts-International
267,Tenneco,"$11,763.00 ","81,000",https://www.indeed.com/cmp/Tenneco
268,Nvidia,"$11,716.00 ","13,277",https://www.indeed.com/cmp/Nvidia
269,Sempra Energy,"$11,687.00 ","16,823",https://www.indeed.com/cmp/Sempra-Energy
270,Farmers Insurance Exchange,"$11,650.40 ","12,740",https://www.indeed.com/cmp/Farmers-Insurance-Group
271,Ball,"$11,635.00 ","17,500",https://www.indeed.com/cmp/Ball-Corporation
272,Group 1 Automotive,"$11,601.40 ","14,570",https://www.indeed.com/cmp/Group-1-Automotive
273,Unum Group,"$11,598.50 ","9,600",https://www.indeed.com/cmp/Unum
274,Xcel Energy,"$11,537.00 ","11,068",https://www.indeed.com/cmp/Xcel-Energy
275,Reliance Steel & Aluminum,"$11,534.50 ","15,600",https://www.indeed.com/cmp/Reliance-Steel-&-Aluminum-Co.
276,Huntsman,"$11,527.00 ","10,000",https://www.indeed.com/cmp/Huntsman
277,Norfolk Southern,"$11,458.00 ","26,662",https://www.indeed.com/cmp/Norfolk-Southern-Corp
278,Laboratory Corp. of America,"$11,333.40 ","61,000",https://www.indeed.com/cmp/Labcorp
279,Corning,"$11,290.00 ","51,500",https://www.indeed.com/cmp/Corning
280,Expedia Group,"$11,223.00 ","24,500",https://www.indeed.com/cmp/Expedia-Group
281,AutoZone,"$11,221.10 ","72,450",https://www.indeed.com/cmp/Autozone
282,W.W. Grainger,"$11,221.00 ","23,850",https://www.indeed.com/cmp/Grainger
283,Quanta Services,"$11,171.40 ","39,200",https://www.indeed.com/cmp/Quanta-Services
284,Crown Holdings,"$11,151.00 ","33,429",https://www.indeed.com/cmp/Crown-Cork-&-Seal
285,Office Depot,"$11,130.00 ","44,000",https://www.indeed.com/cmp/Office-Depot-Officemax
286,Baxter International,"$11,127.00 ","50,000",https://www.indeed.com/cmp/Baxter-Healthcare
287,Lam Research,"$11,077.00 ","10,900",https://www.indeed.com/cmp/Lam-Research
288,Entergy,"$11,009.50 ","13,688",https://www.indeed.com/cmp/Entergy
289,Charles Schwab,"$10,989.00 ","19,500",https://www.indeed.com/cmp/Charles-Schwab
